Runner,Name,Age,Country,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
78,CHENG VIVIAN,34,NZL,6,7,7,5,6,6,5,5,5,5,5,3,4,3,4,3,4,3,5,3,3,3,4,3
79,NIWIÅÄSKA ALEKSANDRA,26,POL,7,7,8,6,6,7,6,7,6,7,6,5,4,6,5,4,3,5,5,5,5,6,6,6
80,BANASIAK ALICJA,60,POL,7,7,8,5,7,6,6,6,5,5,5,5,3,4,4,3,3,3,3,3,0,0,0,0
81,MIZERA AGNIESZKA,43,POL,6,7,7,7,6,7,5,6,5,4,5,5,4,4,5,3,3,3,3,3,0,0,0,0
82,SZESZKO DOROTA,50,POL,6,7,7,6,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,6,5,5
83,KOVAL IRINA,54,RUS,7,8,7,6,7,6,6,5,6,6,5,6,5,4,6,4,4,4,5,5,4,4,4,3
84,MASLOVA TATYANA,37,RUS,7,7,7,5,6,6,6,6,6,5,5,6,5,5,2,3,3,0,0,0,0,0,0,0
85,POPOVA LUBOV,29,RUS,7,7,7,5,6,6,6,5,5,5,5,5,5,5,5,5,5,4,3,3,4,2,3,3
86,PALTSEVA RIMMA,64,RUS,6,6,7,5,7,6,5,6,5,5,6,5,5,4,5,5,4,5,4,5,4,5,4,5
87,REUTOVICH IRINA,62,RUS,7,6,7,6,7,6,6,5,4,5,4,4,4,4,4,4,4,3,2,3,3,3,3,3
88,BORZYKH TATYANA,48,RUS,5,6,5,3,4,3,2,1,4,4,3,1,3,2,3,2,2,0,3,3,3,3,2,3
89,MIKLOS LIDIJA,36,SRB,7,8,7,6,6,7,6,6,6,5,6,5,6,5,5,4,5,4,3,3,3,3,2,3
90,GRUNDAHL ANNA,36,SWE,6,8,7,6,7,7,6,6,6,6,6,7,5,6,6,5,6,6,5,7,6,6,6,6
91,JANSSON MARIA,27,SWE,6,8,7,5,6,6,6,5,4,6,6,5,4,5,4,6,5,5,5,5,6,6,6,7
92,FONN TORILL,45,SWE,6,8,7,6,7,6,6,6,6,6,6,5,5,6,5,5,5,5,4,6,4,5,6,5
93,LABARTKAVA LARYSA,42,UKR,5,5,5,5,4,3,4,4,4,3,4,3,3,4,3,4,3,3,4,3,3,4,4,5
94,MYTROFANOVA NINA,55,UKR,6,7,8,6,6,7,5,5,1,6,5,7,0,3,4,5,5,3,3,6,6,3,6,6
95,OSTAPENKO TETYANA,41,UKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,STAROSELSKA IULIIA,41,UKR,6,6,6,5,4,4,4,5,2,3,1,4,3,2,2,4,4,2,3,4,3,4,5,6
97,BON SUZANNA,48,USA,7,6,8,6,7,6,7,6,6,6,8,6,6,6,7,6,5,6,6,7,6,5,6,4
98,GARDNER CONNIE,49,USA,7,7,8,6,7,7,7,6,7,6,7,6,6,6,7,5,7,6,6,6,7,6,6,6
99,HORN DEB,53,USA,6,7,7,6,6,7,6,6,6,5,6,5,4,5,5,4,4,3,3,3,3,3,3,3
100,JOHNSON CARILYN,36,USA,6,7,7,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,LUNDBLAD ANNE,46,USA,7,7,7,6,6,7,7,6,6,5,7,5,5,6,5,5,6,5,6,5,6,6,6,7
102,HAUBERK LANA,41,USA,7,7,7,6,7,7,6,6,5,6,6,6,5,6,6,5,5,4,4,5,5,4,5,5
103,BLISS LISA,44,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,PISKORSKA ANNA,40,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,MORAN SABRINA,26,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,NEKMOUCHE MOHAMED,48,ALG,7,7,8,6,6,6,6,6,5,6,5,4,5,4,5,4,4,4,4,5,4,5,3,5
107,BARNES PABLO,25,ARG,7,7,8,6,7,7,7,6,6,6,6,6,5,5,5,4,5,5,6,6,5,5,5,6
108,PEARSON JOHN,40,AUS,6,7,8,6,6,7,6,6,6,6,6,6,5,6,5,6,6,5,6,5,6,6,6,7
109,KENNEDY DAVID,34,AUS,7,7,8,6,7,6,7,6,6,6,6,4,6,6,6,6,6,5,6,6,5,6,6,7
110,HORSBURGH EWAN,35,AUS,7,7,8,7,7,5,3,0,1,6,6,6,7,5,6,4,5,5,4,5,2,1,4,6
111,COOKE RICK,43,AUS,7,7,8,6,6,5,5,6,4,5,6,8,4,7,5,7,6,6,4,7,7,6,7,7
112,EGGENREICH GERHARD,49,AUT,6,7,8,6,7,6,7,6,6,5,6,4,4,3,0,4,6,0,0,0,0,0,0,0
113,PFANDLBAUER ANDREAS,34,AUT,6,8,7,7,7,6,7,7,5,5,7,4,5,6,5,4,5,6,1,2,4,6,3,4
114,BERGMANN HEINZ-PETER,46,AUT,6,7,8,6,7,6,7,6,7,6,6,6,6,5,6,6,5,5,5,5,5,5,4,5
115,BRANDACHER PETER,32,AUT,6,8,7,6,6,6,6,6,6,7,6,5,5,5,5,5,5,4,5,5,3,3,5,6
116,PREDL RAINER,22,AUT,7,7,8,6,7,8,6,7,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
117,STYNEN GEERT,43,BEL,7,7,8,6,7,7,7,7,7,7,8,6,6,7,7,6,6,7,6,5,5,3,5,3
118,DEJAEGHER-BRAET LUC,55,BEL,6,7,7,6,6,6,6,6,6,6,6,6,5,5,6,5,5,6,5,6,5,6,5,7
119,PALMANS PIETER,50,BEL,7,6,8,6,7,7,6,7,6,7,6,6,6,6,6,5,6,5,5,5,5,4,5,4
120,BOGAERT JOHAN,51,BEL,6,7,7,6,6,7,6,6,6,5,6,4,5,4,4,3,3,3,3,2,0,0,0,4
121,BUDNIK VADIM,52,BLR,7,7,9,6,7,5,6,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,HRYBAYEDAU MIKALAI,51,BLR,6,7,7,5,6,5,5,4,4,4,5,4,4,4,4,3,2,4,3,3,2,1,0,0
123,LAPUTS ANATOLI,53,BLR,7,6,8,5,5,6,6,5,5,5,5,5,1,4,4,5,0,0,2,4,3,6,5,6
124,KOGUT IHAR,51,BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,KRUHLIKOLU VALERY,62,BLR,4,5,4,4,4,3,4,3,3,4,2,4,2,3,2,3,2,3,3,2,1,1,0,1
126,GAUDET WAYNE,56,CAN,7,8,8,6,7,7,6,7,6,6,6,6,6,6,6,6,5,5,5,4,5,5,4,4
